,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,0.864,0.556,2.0,-7.683,0.0,0.194,0.255,3.85e-06,0.112,0.726,99.974,230480.0,4.0,2
1,0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008,201800.0,4.0,3
2,0.551,0.801,6.0,-5.069,1.0,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760.0,4.0,1
3,0.666,0.871,1.0,-6.017,0.0,0.0272,0.27,0.0208,0.263,0.936,108.501,215326.0,4.0,2
4,0.429,0.453,0.0,-7.746,1.0,0.0459,0.554,2e-06,0.102,0.155,77.639,227196.0,4.0,4
5,0.517,0.675,6.0,-5.382,1.0,0.0357,0.459,0.0,0.151,0.518,203.853,163855.0,4.0,3
6,0.675,0.609,1.0,-7.905,1.0,0.094,0.284,0.268,0.112,0.057,119.973,300000.0,4.0,3
7,0.847,0.622,1.0,-6.747,0.0,0.0903,0.119,0.0,0.285,0.22,130.001,125040.0,4.0,2
8,0.801,0.806,11.0,-5.206,1.0,0.0381,0.382,0.000669,0.114,0.802,106.999,239318.0,4.0,0
9,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,176579.0,4.0,2
10,0.77,0.58,0.0,-8.393,1.0,0.247,0.519,0.000127,0.233,0.753,144.072,109750.0,4.0,1
11,0.483,0.408,5.0,-9.243,0.0,0.0502,0.508,0.0,0.259,0.105,88.88,310491.0,3.0,4
12,0.57,0.67,1.0,-6.519,1.0,0.0274,0.426,0.0,0.108,0.593,140.924,178723.0,4.0,3
13,0.576,0.683,7.0,-5.103,1.0,0.118,0.41,0.0,0.0819,0.433,151.566,214056.0,4.0,3
14,0.672,0.159,9.0,-8.76,0.0,0.0343,0.962,1.83e-05,0.106,0.117,113.218,210827.0,4.0,4
15,0.627,0.879,9.0,-3.446,1.0,0.0955,0.00193,6.87e-06,0.0647,0.748,129.979,184784.0,4.0,0
16,0.624,0.766,8.0,-3.805,1.0,0.0359,0.199,8.62e-06,0.156,0.37,172.08,181621.0,4.0,1
17,0.755,0.68,8.0,-6.15,0.0,0.0862,0.206,4.58e-05,0.122,0.373,123.031,265360.0,4.0,2
18,0.829,0.436,3.0,-8.205,1.0,0.327,0.15,0.0,0.0954,0.693,143.031,223204.0,4.0,1
19,0.504,0.771,6.0,-4.231,1.0,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,197400.0,4.0,1
20,0.637,0.643,4.0,-6.571,1.0,0.0519,0.13,1.8e-06,0.142,0.533,97.008,200690.0,4.0,3
